,phrase,id,annotation,timestamp
0,Aalst,volks_0085,+,2019-11-26 07:44:42.449509
1,Abu Dhabi,volks_0494,+,2019-11-26 07:44:45.256766
2,Abu Dhabi,trouw_0159,+,2019-11-26 07:44:46.721427
3,Adam,trouw_0003,-,2019-11-26 07:44:52.342268
4,Adam,leeuw_0229,-,2019-11-26 07:44:54.056902
5,Adam,trouw_0190,-,2019-11-26 07:44:55.683610
6,Adam,volks_0402,-,2019-11-26 07:44:57.142836
7,Adam,trouw_0112,-,2019-11-26 07:44:58.615026
8,Adams,teleg_0117,-,2019-11-26 07:45:01.101127
9,Adrian,leeuw_0006,-,2019-11-26 07:45:04.697693
10,Adrian,volks_0579,-,2019-11-26 07:45:06.544966
11,Ajax,volks_0362,-,2019-11-26 07:45:08.589934
12,Ajax,trouw_0113,-,2019-11-26 07:45:10.075287
13,Ajax,trouw_0447,-,2019-11-26 07:45:11.479111
14,Ajax,volks_0170,-,2019-11-26 07:45:12.978164
15,Ajax,trouw_0236,-,2019-11-26 07:45:14.422716
16,Alba,volks_0185,-,2019-11-26 07:45:23.150616
17,Albert,volks_0103,-,2019-11-26 07:45:25.164036
18,Albert,teleg_0395,-,2019-11-26 07:45:26.491934
19,Albert,volks_0076,-,2019-11-26 07:45:27.968353
20,Albert,volks_0585,-,2019-11-26 07:45:29.321871
21,Albert,trouw_0130,-,2019-11-26 07:45:30.769804
22,Albion,volks_0203,-,2019-11-26 07:45:45.622601
23,Aleppo,volks_0034,+,2019-11-26 07:45:47.866610
24,Aleppo,leeuw_0049,+,2019-11-26 07:45:49.278881
25,Aleppo,teleg_0142,+,2019-11-26 07:45:50.669430
26,Aleppo,volks_0595,+,2019-11-26 07:45:52.161069
27,Aleppo,teleg_0020,+,2019-11-26 07:45:54.718962
28,Alfonso,trouw_0205,-,2019-11-26 07:45:57.638785
29,Alfonso,trouw_0176,-,2019-11-26 07:45:59.007405
30,Alfonso,leeuw_0194,-,2019-11-26 07:46:00.835446
31,Alfonso,teleg_0204,-,2019-11-26 07:46:02.454433
32,Alfonso,volks_0524,-,2019-11-26 07:46:04.106250
33,Algeciras,leeuw_0101,+,2019-11-26 07:46:09.357031
34,Alicante,trouw_0407,+,2019-11-26 07:46:12.973606
35,Alice,teleg_0058,-,2019-11-26 07:46:15.349731
36,Alice,volks_0068,-,2019-11-26 07:46:27.961983
37,Alice,teleg_0068,-,2019-11-26 07:46:29.839642
38,Alice,trouw_0406,-,2019-11-26 07:46:31.515764
39,Alice,volks_0173,-,2019-11-26 07:46:33.025123
40,Allahabad,trouw_0098,+,2019-11-26 07:46:35.557055
41,Allen,trouw_0336,-,2019-11-26 07:46:38.036307
42,Allen,volks_0409,-,2019-11-26 07:46:39.660276
43,Allen,volks_0535,-,2019-11-26 07:46:42.009119
44,Allen,volks_0418,-,2019-11-26 07:46:43.710251
