,phrase,id,annotation,timestamp
0,Dokkum,trouw_0449,+,2019-11-26 07:08:07.734510
1,Dokkum,leeuw_0084,+,2019-11-26 07:08:10.365962
2,Dokkum,volks_0585,+,2019-11-26 07:08:12.185401
3,Dokkum,leeuw_0271,+,2019-11-26 07:08:14.103365
4,Drachten,leeuw_0085,+,2019-11-26 07:08:18.052380
5,Drachten,leeuw_0173,+,2019-11-26 07:08:20.169159
6,Drachten,volks_0170,+,2019-11-26 07:08:22.106981
7,Franeker,leeuw_0100,+,2019-11-26 07:08:24.966506
8,Franeker,leeuw_0132,+,2019-11-26 07:08:27.030180
9,Heerenveen,leeuw_0129,+,2019-11-26 07:08:29.476657
10,Heerenveen,leeuw_0173,+,2019-11-26 07:08:31.327841
11,Heerenveen,leeuw_0051,+,2019-11-26 07:08:33.130900
12,Heerenveen,leeuw_0265,+,2019-11-26 07:08:36.009134
13,Heerenveen,leeuw_0008,+,2019-11-26 07:08:38.145602
14,Leeuwarden,leeuw_0271,+,2019-11-26 07:08:40.869560
15,Leeuwarden,leeuw_0276,+,2019-11-26 07:08:43.254682
16,Leeuwarden,leeuw_0129,+,2019-11-26 07:08:49.221090
17,Leeuwarden,leeuw_0012,+,2019-11-26 07:08:50.755659
18,Leeuwarden,leeuw_0084,+,2019-11-26 07:08:53.101425
19,Lemmer,leeuw_0189,+,2019-11-26 07:08:55.535891
20,Oosterwolde,leeuw_0055,+,2019-11-26 07:09:00.296777
21,Sneek,teleg_0039,-,2019-11-26 07:09:06.489096
22,Sneek,leeuw_0047,+,2019-11-26 07:09:08.827629
23,Sneek,leeuw_0084,-,2019-11-26 07:09:14.227288
24,Stiens,leeuw_0036,+,2019-11-26 07:09:20.568435
25,Surhuisterveen,leeuw_0173,+,2019-11-26 07:09:23.409135
26,Wolvega,leeuw_0047,+,2019-11-26 07:09:26.044475
