,phrase,id,annotation,timestamp
0,Alkmaar,teleg_0118,+,2019-11-26 06:51:26.969548
1,Almelo,volks_0131,+,2019-11-26 06:51:30.635710
2,Almere,volks_0124,+,2019-11-26 06:51:34.039535
3,Almere,trouw_0141,+,2019-11-26 06:51:36.122178
4,Almere,volks_0143,+,2019-11-26 06:51:38.206547
5,Almere,volks_0135,+,2019-11-26 06:51:39.756132
6,Almere,trouw_0114,+,2019-11-26 06:51:41.333517
7,Amerongen,volks_0412,-,2019-11-26 06:51:44.915071
8,Amersfoort,volks_0093,+,2019-11-26 06:51:47.527371
9,Amersfoort,trouw_0124,+,2019-11-26 06:51:56.261808
10,Amersfoort,volks_0096,+,2019-11-26 06:51:58.396838
11,Amersfoort,volks_0380,+,2019-11-26 06:52:01.331763
12,Amersfoort,volks_0545,+,2019-11-26 06:52:04.256607
13,Amstelveen,teleg_0227,+,2019-11-26 06:52:07.029856
14,Amstelveen,volks_0396,+,2019-11-26 06:52:09.010460
15,Amstelveen,volks_0415,+,2019-11-26 06:52:10.927343
16,Amsterdam,teleg_0489,+,2019-11-26 06:52:13.021232
17,Amsterdam,teleg_0239,+,2019-11-26 06:52:15.290118
18,Amsterdam,volks_0327,+,2019-11-26 06:52:29.450298
19,Amsterdam,trouw_0346,+,2019-11-26 06:52:31.228012
20,Amsterdam,trouw_0304,+,2019-11-26 06:52:34.123576
21,Apeldoorn,leeuw_0125,+,2019-11-26 06:52:36.714224
22,Arnemuiden,volks_0090,+,2019-11-26 06:52:39.748441
23,Arnhem,trouw_0338,+,2019-11-26 06:52:42.440902
24,Arnhem,trouw_0428,+,2019-11-26 06:52:45.005477
25,Arnhem,trouw_0084,+,2019-11-26 06:52:47.417673
26,Arnhem,trouw_0108,+,2019-11-26 06:52:49.409261
27,Arnhem,teleg_0068,+,2019-11-26 06:52:51.022694
28,Assen,leeuw_0157,+,2019-11-26 06:52:53.129465
29,Assen,leeuw_0265,+,2019-11-26 06:52:55.089386
30,Axel,teleg_0167,-,2019-11-26 06:53:06.248245
31,Beek,teleg_0458,-,2019-11-26 06:53:09.082620
32,Bennekom,volks_0162,-,2019-11-26 06:53:12.216979
33,Best,trouw_0112,-,2019-11-26 06:53:15.041501
34,Best,teleg_0306,-,2019-11-26 06:53:16.804156
35,Best,volks_0155,-,2019-11-26 06:53:20.451564
36,Best,volks_0119,-,2019-11-26 06:53:22.475722
37,Beverwijk,volks_0010,+,2019-11-26 06:53:27.871988
38,Biddinghuizen,volks_0411,+,2019-11-26 06:53:32.472854
39,Boxtel,trouw_0048,-,2019-11-26 06:53:35.358140
40,Breda,volks_0083,+,2019-11-26 06:53:40.266967
41,Breda,leeuw_0124,+,2019-11-26 06:53:41.746025
42,Breda,volks_0138,+,2019-11-26 06:53:44.168667
43,Breda,volks_0143,+,2019-11-26 06:53:45.989135
44,Breda,teleg_0121,+,2019-11-26 06:53:47.767381
45,Bunnik,leeuw_0129,-,2019-11-26 06:53:51.177990
46,Bunnik,teleg_0099,+,2019-11-26 06:53:53.222297
47,Bunnik,leeuw_0173,+,2019-11-26 06:53:55.511392
48,Cranendonck,teleg_0271,+,2019-11-26 06:53:58.311016
49,Culemborg,volks_0585,+,2019-11-26 06:54:01.439481
50,Dalfsen,teleg_0432,+,2019-11-26 06:54:08.252505
51,De Bilt,trouw_0314,+,2019-11-26 06:54:11.530776
52,Delft,teleg_0135,+,2019-11-26 06:54:14.001998
53,Delft,teleg_0134,+,2019-11-26 06:54:15.169878
54,Delft,teleg_0523,+,2019-11-26 06:54:16.677809
55,Delft,volks_0096,+,2019-11-26 06:54:18.191889
56,Delft,trouw_0439,+,2019-11-26 06:54:19.587699
57,Den Bosch,trouw_0048,+,2019-11-26 06:54:22.226414
58,Den Haag,trouw_0118,+,2019-11-26 06:54:30.991659
59,Den Haag,trouw_0093,+,2019-11-26 06:54:37.137118
60,Den Haag,teleg_0088,+,2019-11-26 06:54:38.624689
61,Den Haag,volks_0081,+,2019-11-26 06:54:40.039369
62,Den Haag,volks_0149,+,2019-11-26 06:54:41.471715
63,Den Helder,trouw_0102,+,2019-11-26 06:54:45.919901
64,Deventer,leeuw_0058,+,2019-11-26 06:54:48.765447
65,Deventer,volks_0585,+,2019-11-26 06:54:50.905464
66,Diemen,teleg_0198,+,2019-11-26 06:54:56.085849
67,Dieren,trouw_0136,-,2019-11-26 06:54:58.880565
68,Dieren,trouw_0010,-,2019-11-26 06:55:00.353189
69,Dieren,volks_0006,-,2019-11-26 06:55:01.851785
70,Dieren,volks_0124,-,2019-11-26 06:55:03.795359
71,Dieren,leeuw_0036,-,2019-11-26 06:56:13.948477
72,Doesburg,volks_0486,+,2019-11-26 06:56:16.444426
73,Doetinchem,volks_0486,+,2019-11-26 06:56:18.812153
74,Dongen,trouw_0048,-,2019-11-26 06:56:23.837586
75,Doorn,teleg_0347,-,2019-11-26 06:56:26.823307
76,Duindorp,leeuw_0196,+,2019-11-26 06:56:29.386296
77,Eelde,leeuw_0018,+,2019-11-26 06:56:32.680768
