id,source,title,publication_date,section,page,length,byline,ent_countries,ent_places,ent_places_fr,ent_places_nl,ent_places_uk,n_entities,n_sentences,n_stopwords,n_tokens,n_unique_entities,n_words,pos_adj,pos_adp,pos_adv,pos_conj,pos_det,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_space,pos_verb,pos_x,unique_ent_countries,unique_ent_places,unique_ent_places_fr,unique_ent_places_nl,unique_ent_places_uk
leeuw_0000,Leeuwarder Courant,Het flinke nee,2017-01-02,podium,22,212,,1,,,,,1,15,121,251,1,130,20,23,31,10,19,41,2,27,2,29,7,36,4,1,,,,
leeuw_0001,Leeuwarder Courant,Premier May heeft er weer een brexitprobleem bij,2017-01-05,advertenties,8,711,SUSE VAN KLEEF,,3,,,,3,41,330,826,2,496,62,69,43,34,75,185,14,63,22,123,17,116,3,,2,,,
leeuw_0002,Leeuwarder Courant,Relativeren en noordelijke nuchterheid de woorden van 2017,2017-01-07,advertenties,2,958,,5,,,,,5,65,562,1161,4,599,59,92,128,70,85,206,22,120,7,156,26,185,5,4,,,,
leeuw_0003,Leeuwarder Courant,Brexit zit tv-kok Jamie Oliver dwars,2017-01-07,economie,34,130,,1,,,,,1,6,40,126,1,86,7,17,4,6,13,36,7,5,10,12,1,8,,1,,,,
leeuw_0004,Leeuwarder Courant,Een zorgwekkende omslag,2017-01-07,advertenties,38,899,SANDER VAN MERSBERGEN,2,3,,2,,7,79,514,1104,6,590,70,90,87,57,100,194,20,114,9,153,41,159,10,2,3,,1,
leeuw_0005,Leeuwarder Courant,Verjaardag 'Europa' wordt nog geen feestje,2017-01-09,buitenland,6,1126,FRANS BOOGAARD,11,7,,,2,20,79,536,1298,9,762,73,96,145,60,86,247,27,114,30,205,35,171,9,6,2,,,1
leeuw_0006,Leeuwarder Courant,"Het is vrede, maar de haat blijft",2017-01-11,in het midden,10,1594,IMCO LANTING,15,,,,12,27,93,748,1814,6,1066,134,186,140,85,171,391,26,113,43,245,44,220,16,4,,,,2
leeuw_0007,Leeuwarder Courant,Brexit begint nu al pijn te doen,2017-01-11,economie,12,397,,1,,,,1,2,30,201,457,2,256,37,48,23,18,54,100,9,28,7,60,11,61,1,1,,,,1
leeuw_0008,Leeuwarder Courant,DE NOORDELIJKE STELLING: VOOR ONDERNEMEND NOORD-NEDERLAND WORDT 2017 EEN PRIMA JAAR,2017-01-12,advertenties,10,1125,"Door Jean Paul Taffijn,",7,2,3,7,,19,96,614,1309,12,695,96,119,116,81,75,239,24,146,17,174,24,191,7,4,2,2,4,
leeuw_0009,Leeuwarder Courant,Britse belasting op EU-werknemers,2017-01-12,economie,10,61,,1,,,,,1,3,30,71,1,41,2,11,7,2,10,19,2,1,3,7,1,6,,1,,,,
leeuw_0010,Leeuwarder Courant,Late stemmer kan allesbepalend zijn,2017-01-14,in het nieuws,4,617,,,,,3,,3,44,293,693,3,400,51,71,47,39,77,147,26,41,12,71,23,83,5,,,,3,
leeuw_0011,Leeuwarder Courant,DIA HET VERHAAL VAN EEN GENERATIE,2017-01-14,weekend,26,1211,TEKST ANDRÉ NIENTIED,10,,,7,,17,68,669,1450,9,781,90,135,136,80,82,244,27,162,49,185,31,215,14,6,,,3,
leeuw_0012,Leeuwarder Courant,Extreem kwartaal voor veemarkt Leeuwarden,2017-01-14,economie,34,293,AAN DIRK VAN DER MEULEN,,,2,,,2,21,120,328,1,208,28,40,19,8,29,80,15,15,5,31,13,41,4,,,1,,
leeuw_0013,Leeuwarder Courant,Engeland kiest voor harde brexit,2017-01-16,buitenland,6,276,GEERT LANGENDORFF,4,,,,1,5,17,120,307,2,187,24,39,18,7,32,69,1,15,7,37,7,49,2,1,,,,1
leeuw_0014,Leeuwarder Courant,Trump maakt tongen los,2017-01-17,advertenties,8,844,MARK VAN ASSEN SANDER VAN MERSBERGEN,15,,,2,,17,84,495,1093,7,598,61,82,118,58,64,175,11,107,20,175,32,185,5,5,,,2,
leeuw_0015,Leeuwarder Courant,Interview Trump valt slecht in Europa,2017-01-17,advertenties,8,324,FRANS BOOGAARD,1,2,,,1,4,14,148,375,3,227,31,40,19,12,33,83,1,22,19,57,10,41,7,1,1,,,1
leeuw_0016,Leeuwarder Courant,Onpeilbaar Nederland?,2017-01-17,in het midden,10,1066,PETER GROENENDIJK,4,,,,,4,78,527,1287,4,760,71,109,113,57,78,236,25,100,31,229,36,188,14,4,,,,
leeuw_0017,Leeuwarder Courant,May wil vrijhandel zonder EU-dwang,2017-01-18,advertenties,6,573,,10,1,,,2,13,37,265,648,7,383,51,72,44,27,66,148,3,33,20,74,12,89,9,5,1,,,1
leeuw_0018,Leeuwarder Courant,Anti-Europeaan met rug naar toekomst,2017-01-18,advertenties,20,701,JAN LAMBERS,10,,,1,,11,45,383,780,4,397,33,84,75,38,81,154,10,66,5,81,22,121,10,3,,,1,
leeuw_0019,Leeuwarder Courant,Lessen voor de Unie,2017-01-20,in het nieuws,2,448,,3,3,,,,6,32,214,482,2,268,33,41,31,22,42,110,3,50,15,48,11,70,6,1,1,,,
leeuw_0020,Leeuwarder Courant,Van Dam niet bang voor Trump en brexit,2017-01-21,economie,32,180,,1,1,,,,2,8,81,208,2,127,18,24,16,8,16,37,4,11,8,36,6,23,1,1,1,,,
leeuw_0021,Leeuwarder Courant,Witte Huis werkt aan postbrexitdeal met VK,2017-01-23,advertenties,12,91,,3,,,,,3,5,43,97,3,54,5,10,2,2,15,26,1,7,6,7,2,14,,3,,,,
leeuw_0022,Leeuwarder Courant,Schotse premier boos over brexit-uitspraak,2017-01-25,advertenties,6,145,,5,,,,,5,7,68,153,3,85,5,20,7,4,20,39,,10,5,17,2,23,1,3,,,,
leeuw_0023,Leeuwarder Courant,China ziet zijn kans schoon,2017-01-28,buitenland,10,905,MARK VAN ASSEN,21,3,,1,,25,65,511,1143,9,632,68,88,140,60,63,194,20,108,27,189,26,149,11,6,2,,1,
leeuw_0024,Leeuwarder Courant,Recordaantal nieuwe banen,2017-01-30,voorpagina,1,505,DAVID BREMMER,14,,,,1,15,26,185,541,11,356,48,46,23,35,43,125,24,23,15,82,12,62,3,10,,,,1
leeuw_0025,Leeuwarder Courant,Knot: Trump regeert als vastgoedinvesteerder,2017-01-30,advertenties,10,263,,3,,,,,3,11,128,290,2,162,23,35,18,13,30,59,4,14,4,45,5,36,4,2,,,,
leeuw_0026,Leeuwarder Courant,Britse premier May kan doorgaan met brexit,2017-02-02,advertenties,6,348,,,1,,,1,2,23,175,398,2,223,22,45,35,16,45,91,13,18,7,49,10,47,,,1,,,1
leeuw_0027,Leeuwarder Courant,Stemmen op de foute kandidaat,2017-02-02,algemeen,18,713,JAN DE BOER,3,1,,,,4,30,345,749,3,404,50,102,40,35,79,167,16,52,31,57,17,94,9,2,1,,,
leeuw_0028,Leeuwarder Courant,'Brussel houdt deur dicht voor Malloch',2017-02-03,advertenties,6,320,FRANS BOOGAARD,4,2,,,,6,15,157,367,5,210,25,35,31,18,36,85,5,18,9,45,11,47,2,4,1,,,
leeuw_0029,Leeuwarder Courant,'Forse ING-winst en toch ontslag',2017-02-03,economie,12,395,,2,,2,1,,5,21,163,430,4,267,27,48,24,17,44,106,21,18,5,56,9,53,2,2,,1,1,
leeuw_0030,Leeuwarder Courant,Brexit en Trump: nieuw tijdperk,2017-02-03,algemeen,18,1303,ULKE VEERSMA,24,3,,,3,30,63,699,1427,13,728,83,194,107,77,166,317,16,73,15,126,27,214,12,8,3,,,2
leeuw_0031,Leeuwarder Courant,Gevestigde orde overal onder druk,2017-02-07,binnenland,4,836,JAN HOEDEMAN,13,1,,,,14,64,471,1034,7,563,42,82,96,60,72,198,8,106,17,153,29,166,5,6,1,,,
leeuw_0032,Leeuwarder Courant,May wil afspraken over EU-burgers,2017-02-07,advertenties,8,94,,1,,,,,1,5,54,111,1,57,3,21,5,5,16,28,1,4,4,10,,14,,1,,,,
leeuw_0033,Leeuwarder Courant,Kritiek Kamer op Koenders,2017-02-10,advertenties,8,454,HANNEKE KEULTJES,1,2,,,,3,25,202,516,2,314,31,48,30,20,55,113,8,20,18,85,12,69,7,1,1,,,
leeuw_0034,Leeuwarder Courant,Rabo schetst ramp uiteenvallen EU,2017-02-10,economie,12,394,,3,1,,1,,5,20,175,424,3,249,37,37,34,27,46,89,2,17,9,61,11,52,2,1,1,,1,
leeuw_0035,Leeuwarder Courant,'Jongeren kunnen tot tien zetels bepalen',2017-02-13,binnenland,4,146,,,,,,,,9,76,165,0,89,9,13,11,11,11,28,5,18,1,22,4,32,,,,,,
leeuw_0036,Leeuwarder Courant,Zelfs de boer weet het niet meer,2017-02-15,regio,24,711,SASKIA VAN WESTHREENEN,,,6,1,,7,59,332,958,2,626,47,88,47,34,92,217,22,62,35,176,23,107,8,,,1,1,
leeuw_0037,Leeuwarder Courant,20.000 EU-wetten aanpassen door brexit,2017-02-16,advertenties,6,147,,,,,,,,8,71,160,0,89,4,20,10,8,16,37,10,8,,15,3,28,1,,,,,
leeuw_0038,Leeuwarder Courant,"Alle partijen kiezen nu voor: Geld moet rollen! dan de liberalen, en trakteert bedrijven wél op een netto-lastenverlichting. Het CDA herintroduceert verder de basisbeurs voor bachelorstudenten, draait de bezuiniging op de huishoudelijke hulp deels terug en verhoogt de AOW en de kinderbijslag. Addertjes: Leerlingen in het voortgezet onderwijs mogen van het CDA niet langer blijven zitten. Medicijngebruikers moeten daarnaast overstappen op een goedkoper geneesmiddel of extra gaan betalen. De lastenverlichting voor huiseigenaren wordt deels teniet gedaan door verdere afbouw van de hypotheekrenteaftrek. Ook worden gokken en tabak duurder.",2017-02-17,binnenland,4,1425,LAURENS KOK,1,,,,,1,103,629,1584,1,955,80,168,104,66,167,380,72,67,29,198,42,198,13,1,,,,
leeuw_0039,Leeuwarder Courant,Alle partijen kiezen nu voor: Geld moet rollen!,2017-02-17,binnenland,4,1540,LAURENS KOK,1,,,,,1,111,670,1692,1,1022,86,178,114,72,182,407,73,68,29,210,44,215,14,1,,,,
leeuw_0040,Leeuwarder Courant,Blair in opstand tegen brexit,2017-02-18,buitenland,8,278,,,,,,,,13,153,334,0,181,22,35,25,18,26,62,4,33,4,45,7,49,4,,,,,
leeuw_0041,Leeuwarder Courant,HET VOELT NIET VEILIG MEER,2017-02-18,weekend,18,1209,TEKST KARLIJN VAN HOUWELINGEN,18,7,,1,,26,84,698,1475,14,777,78,139,129,102,83,258,23,163,34,207,31,220,8,10,3,,1,
leeuw_0042,Leeuwarder Courant,Saneer Europese wetten,2017-02-21,algemeen,18,137,Theo Claassen. Burgum,,2,,,,2,12,67,167,1,100,8,13,14,10,7,25,11,10,2,30,4,33,,,1,,,
leeuw_0043,Leeuwarder Courant,May zet door: Trump komt op staatsbezoek,2017-02-22,advertenties,8,373,SUSE VAN KLEEF,4,,,,,4,18,162,383,2,221,26,45,16,16,42,97,7,21,14,35,13,51,,2,,,,
leeuw_0044,Leeuwarder Courant,Vissers door brexit op een kluitje,2017-02-23,binnenland,4,600,ANGELIQUE MULDERS,1,1,,3,,5,34,313,709,5,396,44,84,56,33,81,153,10,43,9,90,12,89,5,1,1,,3,
leeuw_0045,Leeuwarder Courant,Taalgebruik van populisten,2017-02-23,advertenties,18,226,Rinke de Hoop. Damwâld,1,1,,,,2,21,107,292,2,185,19,29,6,9,32,67,5,27,9,51,9,28,1,1,1,,,
leeuw_0046,Leeuwarder Courant,Bundesbank erkent nadelen globalisering,2017-02-24,economie,12,148,,,,,,,,9,67,148,0,81,12,12,8,8,15,35,3,12,3,17,,21,2,,,,,
leeuw_0047,Leeuwarder Courant,Het beste kostuum bedenk je zelf,2017-02-27,algemeen,26,703,RUTGER VAN DER MEIJ,,,1,,,1,37,392,887,1,495,52,97,77,35,88,173,14,64,15,138,25,101,8,,,1,,
leeuw_0049,Leeuwarder Courant,In Oude Pekela is niets zoals het lijkt,2017-02-28,in het midden,10,3517,SIMON KUPER,33,2,,22,,57,260,1689,4049,13,2360,227,373,290,175,352,843,96,326,70,625,106,551,15,9,1,,3,
leeuw_0050,Leeuwarder Courant,Europa in de bres tegen patriottisme,2017-03-01,algemeen,18,802,ROB BOUDEWIJN,6,6,,1,,13,38,373,868,8,495,58,104,59,45,98,206,14,38,11,100,20,105,10,5,2,,1,
